Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca
pompones-sifap-x-20-varios-colores;;;Color;Verde Manzana;;;;;582,31;;0.02;2.00;7.00;15.00;5;391233;;;;;;;;
pompones-sifap-x-20-varios-colores;;;Color;Verde Oscuro;;;;;582,31;;0.02;2.00;7.00;15.00;5;391234;;;;;;;;
pompones-sifap-x-20-varios-colores;;;Color;Celeste;;;;;582,31;;0.02;2.00;7.00;15.00;5;391235;;;;;;;;
pompones-sifap-x-20-varios-colores;;;Color;Azul;;;;;582,31;;0.02;2.00;7.00;15.00;5;391236;;;;;;;;
pompones-sifap-x-20-varios-colores;;;Color;Lila;;;;;582,31;;0.02;2.00;7.00;15.00;5;391237;;;;;;;;
pompones-sifap-x-20-varios-colores;;;Color;Violeta;;;;;582,31;;0.02;2.00;7.00;15.00;5;391238;;;;;;;;
pompones-sifap-x-20-varios-colores;;;Color;Surtido 1;;;;;644,70;;0.02;2.00;7.00;15.00;5;391239;;;;;;;;
pompones-sifap-x-20-varios-colores;;;Color;Surtido 2;;;;;644,70;;0.02;2.00;7.00;15.00;5;391240;;;;;;;;
pompones-sifap-x-20-varios-colores;;;Color;Fluo;;;;;644,70;;0.02;2.00;7.00;15.00;5;391241;;;;;;;;
pompones-sifap-x-20-varios-colores;;;Color;Pastel;;;;;644,70;;0.02;2.00;7.00;15.00;5;391242;;;;;;;;
panos-de-limpieza-reutilizables-elite-max80-maxwipe;Paños de Limpieza Reutilizables ELITE MAX80 MaxWipe;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;Panos de limpieza, panos, maxwipe, max80;;;ELITE
toalla-de-papel-elite-dobladas-simple-18x24cm-250-un-en-caja-x10-paq;Toalla de papel ELITE dobladas simple 18x24cm 250 un. en caja x10 paq.;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;papel, simple hoja, toalla;;;ELITE
toalla-elite-rollo-plus-2un-x-300m;Toalla ELITE rollo PLUS 2un. x 300m;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;papel, simple hoja, toalla;;;ELITE
toalla-de-papel-elite-simple-18x24cm-250-un-en-caja-x10-paq;Toalla de papel ELITE simple 18x24cm 250 un. en caja x10 paq.;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;papel, simple hoja, toalla;;;ELITE
toalla-de-papel-rendipel-simple-2un-x-200m;Toalla de papel RENDIPEL simple 2un. x 200m;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;papel, simple hoja, toalla;;;RENDIPEL
rollo-de-cocina-susex-doble-hoja-3-rollos-de-50-panos;Rollo de Cocina SUSEX doble hoja 3 rollos de 50 paños;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;cocina, familiar, rollo;;;SUSEX
servilleta-elite-1-hoja-ecologica-30x30cm-200hojas-caja-x5-paq;Servilleta ELITE 1 hoja Ecologica 30x30cm 200hojas caja x5 paq.;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;pack, papel, servilleta, ecologica;;;ELITE
servilleta-susex-de-mesa-1-hoja-33x30cm-x-80-unidades;Servilleta SUSEX de mesa 1 hoja 33x30cm x 80 unidades;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;pack, papel, servilleta;;;SUSEX
servilleta-elite-simple-30x30cm-200hojas-caja-x-5-paq;Servilleta ELITE simple 30x30cm 200hojas caja x 5 paq.;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;pack, papel, servilleta;;;ELITE
rollo-de-cocina-susex-1-unidad-x200-panos;Rollo de Cocina SUSEX 1 unidad x200 paños;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;rollo, cocina, familiar;;;SUSEX
papel-higienico-rendipel-simple-4un-x-200m;Papel Higienico RENDIPEL simple 4un. x 200m;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;higienico, papel, simple hoja;;;RENDIPEL
papel-higienico-higienol-max-simple-4un-x-80m;Papel Higienico HIGIENOL MAX simple 4un. x 80m;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;higienico, papel, simple hoja;;;HIGIENOL
