Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca
lapices-de-colores-faber-castell-x6-cortos;Lapices de Colores FABER-CASTELL x6 cortos;Escolar > Lapices de Colores;;;;;;;358,07;;0.05;0.50;5.00;12.00;60;013971;;SI;NO;;Lapices de Colores;;;FABER-CASTELL
lapices-de-colores-faber-castell-x24-48-bicolor;Lapices de Colores FABER-CASTELL x24/48 BiColor;Escolar > Lapices de Colores;;;;;;;2987,11;;0.15;0.80;17.70;21.00;18;013683;;SI;NO;;bicolor, Lapices de Colores;;;FABER-CASTELL
lapices-de-colores-faber-castell-x12-24-bicolor;Lapices de Colores FABER-CASTELL x12/24 BiColor;Escolar > Lapices de Colores;;;;;;;925,03;;0.18;0.50;9.00;21.00;21;013976;;SI;NO;;bicolor, Lapices de Colores;;;FABER-CASTELL
lapices-de-colores-faber-castell-x6-12-bicolor;Lapices de Colores FABER-CASTELL x6/12 BiColor;Escolar > Lapices de Colores;;;;;;;838,90;;0.04;0.50;5.00;21.00;100;010222;;SI;NO;;Lapices de Colores, bicolor;;;FABER-CASTELL
marcadores-zebra-midliner-creative-marker-x25;Marcadores ZEBRA Mildliner Creative Marker x25;Facultad > Marcadores > Punta Pincel;;;;;;;21273,51;20260,48;0.60;1.50;28.00;15.00;2;015082;;SI;NO;;Indelebles, marcadores, Punta picel;;;ZEBRA
marcadores-zebra-midliner-creative-marker-x15;Marcadores ZEBRA Mildliner Creative Marker x15;Facultad > Marcadores > Punta Pincel;;;;;;;12878,04;12264,80;0.21;1.50;18.00;15.00;0;015081;;SI;NO;;Indelebles, marcadores, Punta picel;;;ZEBRA
marcadores-zebra-midliner-creative-marker-x5;Marcadores ZEBRA Mildliner Creative Marker x5;Facultad > Marcadores > Punta Pincel, Facultad > Marcadores > Indelebles;;;;;;;4925,91;;0.07;1.50;6.00;15.00;0;015079;;SI;NO;;marcadores, indeleble, Punta picel;;;ZEBRA
marcadores-zebra-midliner-brush-pen-marker-x15;Marcadores ZEBRA Mildliner Brush Pen & Marker x15;Facultad > Marcadores > Punta Pincel;;;;;;;12878,04;12264,80;0.21;1.50;18.00;15.00;1;015083;;SI;NO;;marcadores, Indelebles, Punta picel;;;ZEBRA
lapices-de-colores-simball-innovation-borrables-x12;Lapices de Colores SIMBALL Innovation Borrables x12;Escolar > Lapices de Colores;;;;;;;973,50;;0.08;1.00;9.00;21.00;20;015088;;SI;NO;;Escolares, Lapices de Colores, Borrables;;;SIMBALL
lapices-de-colores-simball-innovation-x12;Lapices de Colores SIMBALL Innovation x12;Escolar > Lapices de Colores;;;;;;;577,17;;0.08;1.00;9.00;21.00;0;013163;;SI;NO;;Escolares, Lapices de Colores;;;SIMBALL
lapices-de-colores-simball-innovation-x24;Lapices de Colores SIMBALL Innovation x24;Escolar > Lapices de Colores;;;;;;;1180,60;;0.18;1.00;17.00;21.00;28;015087;;SI;NO;;Lapices de Colores, Escolares;;;SIMBALL
boligrafo-rollerball-simball-genio-2g-teen;Boligrafo Rollerball SIMBALL Genio 2G TEEN;Escolar > Bolígrafos y Rollerballs;;;;;;;486,54;;0.02;1.20;1.50;15.00;1;014845;;SI;NO;;boligrafo, Boligrafo en Gel, Borrable, RollerBall;;;SIMBALL
boligrafo-rollerball-simball-genio-2g-princess;Boligrafo Rollerball SIMBALL Genio 2G Princess;Escolar > Bolígrafos y Rollerballs;;;;;;;486,54;;0.02;1.20;1.50;15.00;0;015086;;SI;NO;;boligrafo, Boligrafo en Gel, RollerBall, Borrable;;;SIMBALL
block-exito-nat;Block EXITO NAT;Escolar > Blocks de hojas y repuestos;Medidas;48H RAY.;;;;;441,00;;0.30;1.00;19.00;24.00;39;020247;;SI;NO;;Repuestos, escolar, Natural;;;EXITO
block-exito-nat;;;Medidas;288H RAY.;;;;;2898,00;;1.10;4.50;19.00;24.00;5;020249;;;;;;;;
block-exito-nat;;;Medidas;48H CUA.;;;;;441,00;;0.30;1.00;19.00;24.00;40;020248;;;;;;;;
block-exito-nat;;;Medidas;288H CUA.;;;;;2898,00;;1.10;4.50;19.00;24.00;4;020250;;;;;;;;
cuaderno-libreta-ledesma-nat;Cuaderno Libreta Ledesma NAT;Escolar > Cuadernos, Artística > Dibujo > Cuadernos, Facultad > Cuadernos Universitarios;Tipo;Rayado;;;;;1842,63;;0.40;1.50;16.00;21.00;0;041984;;SI;NO;;Cuadernos, Libretas, Natural;;;LEDESMA
cuaderno-libreta-ledesma-nat;;;Tipo;Punteado;;;;;1842,63;;0.40;1.50;16.00;21.00;0;041985;;;;;;;;
resma-a4-autor-nat-75gr;Resma A4 AUTOR NAT 75Gr;Oficina > Resmas;;;;;;;1150,00;;2.50;6.00;22.00;30.00;176;080460;;SI;NO;;Resmas, A4, Natural;;;AUTOR
cuaderno-a4-ledesma-bio;Cuaderno A4 Ledesma +BIO;Facultad > Cuadernos Universitarios;Tipo;Rayado;;;;;1369,22;;0.50;1.30;27.00;21.50;77;041671;;SI;NO;;A4, cuaderno, ecologico, ledesma;;;LEDESMA
cuaderno-a4-ledesma-bio;;;Tipo;Cuadriculado;;;;;1369,22;;0.50;1.30;27.00;21.50;85;041672;;;;;;;;
cuaderno-a4-ledesma-bio;;;Tipo;Liso;;;;;1369,22;;0.50;1.30;27.00;21.50;90;041673;;;;;;;;
bastidor-entelado-fime-varias-medidas;BASTIDOR Entelado FIME Varias Medidas;Artística > Soportes > Bastidores;Medidas;20x20;;;;;952,09;;0.55;2.50;20.00;20.00;0;310664;;SI;NO;;Bastidores, Acuarelas, Oleo, Acrilicos, Bastidor;;;FIME
bastidor-entelado-fime-varias-medidas;;;Medidas;20x30;;;;;1186,66;;0.55;2.50;30.00;20.00;0;311092;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;20x40;;;;;1363,23;;0.70;2.50;40.00;20.00;2;310665;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;20x50;;;;;1559,22;;0.75;2.50;50.00;20.00;3;310666;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;24x30;;;;;1228,06;;0.55;2.50;30.00;24.00;2;310471;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;30x30;;;;;1393,64;;0.55;2.50;30.00;30.00;8;310667;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;30x40;;;;;1600,00;;0.55;2.50;40.00;30.00;8;310472;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;30x50;;;;;1824,05;;0.55;2.50;50.00;30.00;10;310668;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;30x60;;;;;2027,57;;0.80;2.50;60.00;30.00;8;311764;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;30x70;;;;;2490,40;;0.55;2.50;70.00;30.00;10;310669;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;30x80;;;;;2702,35;;0.85;2.50;80.00;30.00;1;314232;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;35x45;;;;;1835,19;;0.80;2.50;45.00;35.00;5;310670;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;35x50;;;;;1959,37;;0.78;2.50;50.00;35.00;4;310691;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;40x40;;;;;1848,99;;0.65;2.50;40.00;40.00;15;310474;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;40x50;;;;;2055,96;;0.71;2.50;50.00;40.00;9;310475;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;40x60;;;;;2331,93;;0.81;2.50;60.00;40.00;8;310476;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;40x70;;;;;2566,50;;0.55;2.50;70.00;40.00;0;312097;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;40x80;;;;;2914,29;;0.90;2.50;80.00;40.00;5;310715;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;45x50;;;;;2193,95;;0.70;2.50;45.00;50.00;3;316945;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;45x60;;;;;2469,91;;0.90;2.50;45.00;60.00;2;316754;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;50x50;;;;;2387,12;;1.00;2.50;50.00;50.00;15;310692;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;50x60;;;;;2635,49;;1.00;2.50;50.00;60.00;20;310721;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;50x70;;;;;3035,65;;1.10;2.50;50.00;70.00;6;310693;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;50x80;;;;;3311,70;;1.10;2.50;50.00;80.00;0;310716;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;60x60;;;;;2883,87;;0.55;2.50;60.00;60.00;8;310056;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;60x70;;;;;3297,82;;0.80;2.50;60.00;70.00;0;310717;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;60x80;;;;;3735,60;;1.00;2.50;60.00;80.00;3;310694;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;60x90;;;;;4212,48;;0.90;2.50;60.00;90.00;0;312100;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;70x70;;;;;4012,90;;0.89;2.50;70.00;70.00;3;310718;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;70x80;;;;;4470,68;;0.98;2.50;70.00;80.00;4;312101;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;70x90;;;;;4898,43;;1.00;2.50;70.00;90.00;3;312102;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;80x80;;;;;4896,12;;0.90;2.50;80.00;80.00;3;310719;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;80x90;;;;;5229,59;;1.10;2.50;80.00;90.00;3;316671;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;80x100;;;;;5684,94;;1.15;2.50;80.00;100.00;1;311650;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;90x90;;;;;6195,48;;1.00;2.50;90.00;90.00;1;314233;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;100x100;;;;;7815,61;;1.10;2.50;100.00;100.00;4;311651;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;100x120;;;;;9389,03;;1.40;2.50;100.00;120.00;4;310581;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;120x120;;;;;11365,75;;1.60;2.50;120.00;120.00;2;314012;;;;;;;;
bastidor-entelado-fime-varias-medidas;;;Medidas;140x160;;;;;24109,16;;2.30;2.50;140.00;160.00;4;310219;;;;;;;;
slime-brillo-cosmico-elmers;Slime Brillo Cosmico ELMER'S;;;;;;;;1411,80;;0.00;0.00;0.00;0.00;0;210308;;SI;NO;;Elmer's, slime;;;ELMER'S
kit-de-slime-splash-emlers;Kit de Slime Splash EMLER'S;;;;;;;;3522,85;3063,35;0.00;0.00;0.00;0.00;0;210309;;SI;NO;;Elmer's, slime;;;ELMER'S
kit-de-slime-noche-estrellada-elmers;Kit de Slime Noche Estrellada ELMER'S;;;;;;;;2726,38;2370,77;0.00;0.00;0.00;0.00;0;210300;;SI;NO;;Elmer's, slime;;;ELMER'S
kit-de-slime-coleccion-elmers;Kit de Slime Coleccion ELMER'S;;;;;;;;8057,94;7325,40;0.85;6.00;19.00;20.00;5;210304;;SI;NO;;Elmer's, slime;;;ELMER'S
kit-de-slime-confeti-elmers;Kit de Slime Confeti ELMER'S;;;;;;;;5667,19;4928,00;0.61;6.00;19.00;20.00;10;210301;;SI;NO;;Elmer's, slime;;;ELMER'S
kit-slime-mega-elmers;Kit Slime Mega ELMERS;;;;;;;;10109,05;9190,05;1.35;11.00;16.00;17.00;8;210303;;SI;NO;;Elmer's, slime;;;ELMER'S
kit-slime-celebration-elmers;Kit Slime Celebration ELMERS;Juguetes y Libros;;;;;;;2370,77;;0.30;4.00;11.00;16.00;0;210295;;SI;NO;;slime;;;ELMER'S
kit-slime-cruchy-elmers;Kit Slime Cruchy ELMERS;Juguetes y Libros;;;;;;;4928,00;;0.60;6.00;20.00;19.00;2;210297;;SI;NO;;slime;;;ELMER'S
kit-slime-cambia-color-elmers;Kit Slime Cambia Color ELMERS;Juguetes y Libros;;;;;;;7378,67;;0.58;8.00;11.00;19.00;15;210296;;SI;NO;;slime;;;ELMER'S
kit-slime-metalicos-elmers;Kit Slime Metalicos ELMERS;Escolar > Plastilinas, Juguetes y Libros;;;;;;;4109,93;;0.60;7.50;10.50;18.50;16;210293;;SI;NO;;slime;;;Elmers
kit-slime-colours-elmers;Kit Slime Colours ELMERS;Escolar > Plastilinas, Juguetes y Libros;;;;;;;2029,55;;0.30;4.00;10.50;15.50;0;210294;;SI;NO;;slime;;;Elmers
kit-slime-arcoiris-elmers;Kit Slime Arcoiris ELMERS;Juguetes y Libros;;;;;;;5247,65;;0.84;5.00;22.50;31.50;0;210262;;SI;NO;;;;;
kit-elmers-3d-de-31-piezas1;Kit Elmers 3D de 31 Piezas;Escolar > Adhesivos, Juguetes y Libros;;;;;;;4545,80;;0.66;2.00;25.50;38.50;0;050326;;SI;NO;;adhesivo;;;slime
kit-slime-acqua-elmers;Kit Slime Acqua ELMERS;Juguetes y Libros;;;;;;;2033,39;;0.31;5.00;15.00;18.00;0;210260;;SI;NO;;;;;
kit-slime-glow-elmers;Kit Slime Glow ELMERS;Juguetes y Libros;;;;;;;5611,37;;0.49;7.00;10.00;15.00;0;210259;;SI;NO;;;;;
kit-slime-neon-elmers;Kit Slime Neon ELMERS;Juguetes y Libros;;;;;;;2033,39;;0.31;5.00;15.00;18.00;0;210261;;SI;NO;;;;;
block-a4-exito-80h;Block A4 Exito 80H;Oficina > Blocks , Escolar > Blocks de hojas y repuestos;Modelo;Rayado;;;;;950,00;;0.60;2.00;21.00;30.00;568;120167;;SI;NO;;Block, Repuesto, Rayado, cuadriculado;;;EXITO
block-a4-exito-80h;;;Modelo;Cuadriculado;;;;;950,00;;0.60;2.00;21.00;30.00;579;120168;;;;;;;;
goma-de-borrar-2-banderas-tinta-lapiz;Goma de Borrar 2 BANDERAS Tinta/Lapiz;Oficina > Goma de borrar, Escolar > Gomas de borrar;Color;Rojo/Azul;;;;;57,02;;0.03;1.50;2.00;7.00;795;110026;;SI;NO;;Goma de borrar, borrador, Tinta/Lapiz;;;2 BANDERAS
goma-de-borrar-2-banderas-tinta-lapiz;;;Color;Blanco/Gris;;;;;59,40;;0.02;1.00;1.00;7.00;792;110003;;;;;;;;
goma-de-borrar-2-banderas-classic;Goma de Borrar 2 BANDERAS Classic;Oficina > Goma de borrar, Escolar > Gomas de borrar;Modelo;Chica;;;;;35,64;;0.02;1.00;2.00;3.00;725;110001;;SI;NO;;Goma de borrar, borrador;;;2 BANDERAS
goma-de-borrar-2-banderas-classic;;;Modelo;Mediana;;;;;48,60;;0.02;1.00;3.00;6.00;764;110002;;;;;;;;
adhesivo-voligoma;Adhesivo VOLIGOMA;Oficina > Adhesivos, Escolar > Adhesivos;Capacidad;30ml;;;;;240,00;200,00;0.05;2.50;2.50;8.00;160;050019;;SI;NO;;adhesivo, escolar, Voligoma;;;VOLIGOMA
adhesivo-voligoma;;;Capacidad;50ml;;;;;396,00;330,00;0.07;3.00;3.00;13.00;183;050044;;;;;;;;
laminas-para-pintar-uniesco;Laminas para pintar UNIESCO;Juguetes y Libros, Escolar;Modelo;Unicornio;;;;;560,00;;0.60;7.00;7.00;70.00;0;160138;;SI;NO;;Laminas para Pintar, Para Colorear;;;UNIESCO
laminas-para-pintar-uniesco;;;Modelo;Zoo;;;;;560,00;;0.60;7.00;7.00;70.00;2;160135;;;;;;;;
laminas-para-pintar-uniesco;;;Modelo;Universo;;;;;560,00;;0.60;7.00;7.00;70.00;0;160137;;;;;;;;
laminas-para-pintar-uniesco;;;Modelo;Dino;;;;;560,00;;0.60;7.00;7.00;70.00;0;160139;;;;;;;;
libro-yo-quiero-saber;Libro. Yo Quiero Saber;Juguetes y Libros;;;;;;;1028,10;;0.50;2.50;22.00;22.00;0;364665;;SI;NO;;Libro, Didactico;;;ED. BETINA
virutas-de-papel-iglu;Virutas de papel IGLU;Escolar;;;;;;;650,38;;0.20;10.00;20.00;30.00;50;318298;;SI;NO;;Virutas de Papel;;;IGLU
libro-regristro-unico-de-remuneraciones-rab;Libro Regristro Unico de Remuneraciones RAB;Oficina;;;;;;;2477,89;;0.50;1.00;26.00;38.00;10;100593;;SI;NO;;Libro de Remuneraciones;;;RAB
libro-regristro-especial-de-remuneraciones-rab;Libro Regristro Especial de Remuneraciones RAB;Oficina;;;;;;;2283,20;;0.50;1.00;26.00;38.00;10;100196;;SI;NO;;Libro de Remuneraciones;;;RAB
libro-registro-de-pasajeros-rab;Libro Registro de Pasajeros RAB;Oficina;;;;;;;10827,20;;0.50;1.00;26.00;38.00;10;100819;;SI;NO;;Libro Registro de Pasajeros;;;RAB
libro-registro-de-asociados-rab;Libro Registro de Asociados RAB;Comercio, Oficina;;;;;;;10882,91;;0.40;2.00;26.00;38.00;10;100224;;SI;NO;;Libro, Registro de Asociados;;;RAB
libros-iva-contables-rab;Libros IVA Contables RAB;;Modelo;IVA Compras;;;;;1826,46;;0.25;1.00;26.00;38.00;10;100693;;SI;NO;;Libro Contable, IVA Compras, IVA Ventas;;;RAB
libros-iva-contables-rab;;;Modelo;IVA Ventas;;;;;1826,46;;0.25;1.00;26.00;38.00;10;100108;;;;;;;;
libro-de-actas-de-asamblea-rab;Libro de Actas de Asamblea RAB;Oficina;;;;;;;3944,81;;0.50;2.50;22.00;33.00;5;100931;;SI;NO;;Libro de Actas, Contable;;;RAB
libro-bancos-rab;Libro Bancos RAB;Comercio, Oficina;Modelo;100 Hojas;;;;;3270,82;;0.70;2.00;22.00;33.00;5;100058;;SI;NO;;Libro Bancos, Contable;;;RAB
libro-bancos-rab;;;Modelo;200 Hojas;;;;;5091,52;;0.80;2.50;22.00;33.00;5;100267;;;;;;;;
libro-diario-rab;Libro Diario RAB;Comercio, Oficina;;;;;;;3944,81;;0.80;2.50;22.00;33.00;5;100095;;SI;NO;;Libro Diario, Contable, 3 Columnas;;;RAB
libro-de-cajas-rab;Libro de Cajas RAB;Comercio, Oficina > Otros accesorios;Modelo;100 Hojas 2 Columnas;;;;;3944,81;;0.70;2.00;23.00;33.00;10;100367;;SI;NO;;Libro de Caja, 2 Columnas, 3 Columnas;;;RAB
libro-de-cajas-rab;;;Modelo;100 Hojas 3 Columnas;;;;;3944,81;;0.80;2.00;23.00;33.00;10;100519;;;;;;;;
libros-de-actas-rab;Libros de Actas RAB;Comercio, Oficina > Otros accesorios;Modelo;100 Hojas 2 Manos;;;;;3676,04;;0.56;1.00;22.00;34.00;10;100185;;SI;NO;;Libro de Actas;;;RAB
libros-de-actas-rab;;;Modelo;150 Hojas 3 Manos;;;;;4761,10;;0.77;1.50;22.00;34.00;5;100180;;;;;;;;
libros-de-actas-rab;;;Modelo;200 Hojas 4 Manos;;;;;5929,25;;0.95;2.00;22.00;34.00;5;100195;;;;;;;;
libro-coleccion-y-que-paso-despues;Libro. Coleccion ¿Y que pasó después?;Juguetes y Libros;Modelo;¿Donde Duerme Luluz?;;;;;465,85;;0.10;2.00;16.00;21.00;4;364921;;SI;NO;;Libros, Didactico;;;GRADO CINCO
libro-coleccion-y-que-paso-despues;;;Modelo;¿A donde Van Las Zanahorias?;;;;;465,85;;0.10;2.00;16.00;21.00;4;364920;;;;;;;;
libro-coleccion-y-que-paso-despues;;;Modelo;¿Que Hay En El Fondo Del Mar?;;;;;465,85;;0.10;2.00;16.00;21.00;4;364922;;;;;;;;
libro-coleccion-historias-con-formas;Libro. Coleccion Historias con Formas;Juguetes y Libros;Modelo;Amanda se va a Dormir;;;;;612,26;;0.16;2.50;17.00;17.00;1;364930;;SI;NO;;Libro, Didactico;;;GRADO CINCO
libro-coleccion-historias-con-formas;;;Modelo;Emilio y los Colores;;;;;612,26;;0.16;2.50;17.00;17.00;0;364928;;;;;;;;
libro-coleccion-historias-con-formas;;;Modelo;Lala Cumple Años;;;;;612,26;;0.16;2.50;17.00;17.00;0;364929;;;;;;;;
libro-coleccion-historias-con-formas;;;Modelo;Jacinto va al Jardin;;;;;612,26;;0.16;2.50;17.00;17.00;0;364927;;;;;;;;
libro-coleccion-al-agua;Libro. Coleccion ¡Al Agua!;Juguetes y Libros;Modelo;Tantunis;;;;;585,64;;0.06;2.50;15.00;15.00;19;364924;;SI;NO;;Libros, Didactico, Apto Bano;;;GRADO CINCO
libro-coleccion-al-agua;;;Modelo;Luluz;;;;;585,64;;0.06;2.50;15.00;15.00;20;364923;;;;;;;;
libro-coleccion-al-agua;;;Modelo;Fafán;;;;;585,64;;0.06;2.50;15.00;15.00;20;364926;;;;;;;;
libro-coleccion-al-agua;;;Modelo;Gambi;;;;;585,64;;0.06;2.50;15.00;15.00;20;364925;;;;;;;;
libro-coleccion-berrinches;Libro. Coleccion Berrinches;Juguetes y Libros;Modelo;Deli y su Maquina;;;;;692,12;;0.15;2.50;13.00;13.00;5;364932;;SI;NO;;Libro, Didactico, Cuentos Infantiles, Coleccion;;;GRADO CINCO
libro-coleccion-berrinches;;;Modelo;Dormir con la Reina;;;;;692,12;;0.15;2.50;13.00;13.00;5;364931;;;;;;;;
marcador-uni-posca-pcf-350-punta-pincel;Marcador UNI-POSCA PCF-350 Punta Pincel;Oficina > Marcadores > Punta Pincel, Facultad > Marcadores > Punta Pincel;Color;Amarillo;;;;;2286,72;;0.02;1.50;1.50;14.50;2;014256;;SI;NO;;marcadores, Indelebles, al agua;;;POSCA
marcador-uni-posca-pcf-350-punta-pincel;;;Color;Azul;;;;;2286,72;;0.02;1.50;1.50;14.50;5;014257;;;;;;;;
marcador-uni-posca-pcf-350-punta-pincel;;;Color;Blanco;;;;;2286,72;;0.02;1.50;1.50;14.50;10;014255;;;;;;;;
marcador-uni-posca-pcf-350-punta-pincel;;;Color;Negro;;;;;2286,72;;0.02;1.50;1.50;14.50;10;014956;;;;;;;;
marcador-uni-posca-pcf-350-punta-pincel;;;Color;Oro;;;;;2286,72;;0.02;1.50;1.50;14.50;5;014261;;;;;;;;
marcador-uni-posca-pcf-350-punta-pincel;;;Color;Plata;;;;;2286,72;;0.02;1.50;1.50;14.50;3;014262;;;;;;;;
marcador-uni-posca-pcf-350-punta-pincel;;;Color;Rojo;;;;;2286,72;;0.02;1.50;1.50;14.50;1;014258;;;;;;;;
marcador-uni-posca-pcf-350-punta-pincel;;;Color;Rosa;;;;;2286,72;;0.02;1.50;1.50;14.50;3;014259;;;;;;;;
marcador-uni-posca-pcf-350-punta-pincel;;;Color;Verde;;;;;2286,72;;0.02;1.50;1.50;14.50;2;014260;;;;;;;;
marcador-uni-posca-pc-1mr;Marcador UNI-POSCA PC-1MR;Oficina > Marcadores > Al Agua, Facultad > Marcadores > Al Agua;Color;Amarillo;;;;;1244,84;;0.01;1.00;1.00;13.00;3;014248;;SI;NO;;marcadores, Indelebles, al agua;;;POSCA
marcador-uni-posca-pc-1mr;;;Color;Azul;;;;;1244,84;;0.01;1.00;1.00;13.00;7;014249;;;;;;;;
marcador-uni-posca-pc-1mr;;;Color;Blanco;;;;;1244,84;;0.01;1.00;1.00;13.00;12;014247;;;;;;;;
marcador-uni-posca-pc-1mr;;;Color;Celeste;;;;;1244,84;;0.01;1.00;1.00;13.00;4;014250;;;;;;;;
marcador-uni-posca-pc-1mr;;;Color;Negro;;;;;1244,84;;0.01;1.00;1.00;13.00;17;014964;;;;;;;;
marcador-uni-posca-pc-1mr;;;Color;Plata;;;;;1244,84;;0.01;1.00;1.00;13.00;6;014254;;;;;;;;
marcador-uni-posca-pc-1mr;;;Color;Rosa;;;;;1244,84;;0.01;1.00;1.00;13.00;6;015037;;;;;;;;
marcador-uni-posca-pc-1mr;;;Color;Verde;;;;;1244,84;;0.01;1.00;1.00;13.00;6;014251;;;;;;;;
marcador-uni-posca-pc-1mr;;;Color;Oro;;;;;1244,84;;0.01;1.00;1.00;13.00;5;014253;;;;;;;;
marcador-uni-posca-pc-1mr;;;Color;Violeta;;;;;1244,84;;0.01;1.00;1.00;13.00;6;014252;;;;;;;;
marcador-uni-posca-pc-5m1;Marcador UNI-POSCA PC-5M;Oficina > Marcadores > Al Agua, Facultad > Marcadores > Al Agua;Color;Amarillo;;;;;1150,13;;0.02;2.00;2.00;14.00;2;014274;;SI;NO;;marcadores, Indelebles, al agua;;;POSCA
marcador-uni-posca-pc-5m1;;;Color;Azul;;;;;1150,13;;0.02;2.00;2.00;14.00;2;014275;;;;;;;;
marcador-uni-posca-pc-5m1;;;Color;Azul Cielo;;;;;1150,13;;0.02;2.00;2.00;14.00;0;014276;;;;;;;;
marcador-uni-posca-pc-5m1;;;Color;Azul Claro;;;;;1150,13;;0.02;2.00;2.00;14.00;2;014277;;;;;;;;
marcador-uni-posca-pc-5m1;;;Color;Negro;;;;;1150,13;;0.02;2.00;2.00;14.00;0;014273;;;;;;;;
marcador-uni-posca-pc-5m1;;;Color;Beige;;;;;1150,13;;0.02;2.00;2.00;14.00;0;014954;;;;;;;;
marcador-uni-posca-pc-5m1;;;Color;Blanco;;;;;1150,13;;0.02;2.00;2.00;14.00;3;014953;;;;;;;;
marcador-uni-posca-pc-5m1;;;Color;Naranja;;;;;1150,13;;0.02;2.00;2.00;14.00;0;014279;;;;;;;;
marcador-uni-posca-pc-5m1;;;Color;Rojo;;;;;1150,13;;0.02;2.00;2.00;14.00;5;014280;;;;;;;;
marcador-uni-posca-pc-5m1;;;Color;Plata;;;;;1150,13;;0.02;2.00;2.00;14.00;2;014282;;;;;;;;
marcador-uni-posca-pc-5m1;;;Color;Coral;;;;;1150,13;;0.02;2.00;2.00;14.00;0;014278;;;;;;;;
marcador-uni-posca-pc-5m1;;;Color;Oro;;;;;1150,13;;0.02;2.00;2.00;14.00;23;014281;;;;;;;;
marcador-uni-posca-pc-5m1;;;Color;Violeta;;;;;1150,13;;0.02;2.00;2.00;14.00;2;014955;;;;;;;;
marcador-uni-posca-pc-3m;Marcador UNI-POSCA PC-3M;Oficina > Marcadores > Al Agua, Facultad > Marcadores > Al Agua;Color;Amarillo;;;;;1014,82;;0.02;1.50;1.80;14.00;0;014265;;SI;NO;;marcadores, Indelebles, al agua;;;POSCA
marcador-uni-posca-pc-3m;;;Color;Blanco;;;;;1014,82;;0.02;1.50;1.80;14.00;8;014263;;;;;;;;
marcador-uni-posca-pc-3m;;;Color;Negro;;;;;1014,82;;0.02;1.50;1.80;14.00;0;014264;;;;;;;;
marcador-uni-posca-pc-3m;;;Color;Rojo;;;;;1014,82;;0.02;1.50;1.80;14.00;1;014269;;;;;;;;
marcador-uni-posca-pc-3m;;;Color;Plata;;;;;1014,82;;0.02;1.50;1.80;14.00;18;014271;;;;;;;;
marcador-uni-posca-pc-3m;;;Color;Naranja;;;;;1014,82;;0.02;1.50;1.80;14.00;0;014268;;;;;;;;
marcador-uni-posca-pc-3m;;;Color;Amarillo Vivo;;;;;1014,82;;0.02;1.50;1.80;14.00;1;014266;;;;;;;;
marcador-uni-posca-pc-3m;;;Color;Azul;;;;;1014,82;;0.02;1.50;1.80;14.00;0;014949;;;;;;;;
