"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
set-oficina-ppr-river-plate;"Set Oficina PPR River Plate";"Facultad > Organizador Escritorio, Oficina > Organizador de Escritorio, Oficina > Portataco y Artículos Escritorio";;;;;;;10,990.00;;0.20;3.00;15.00;15.00;5;102513;;SI;NO;;"escritorio, oficina, river, river plate, set";;;PPR;SI;;;;
set-oficina-ppr-boca-juniors;"Set Oficina PPR Boca Juniors";"Facultad > Organizador Escritorio, Oficina > Organizador de Escritorio, Oficina > Portataco y Artículos Escritorio";;;;;;;10,990.00;;0.20;3.00;15.00;15.00;5;102514;;SI;NO;;"boca, boca juniors, escritorio, oficina, set";;;PPR;SI;;;;
set-oficina-ppr-pastel;"Set Oficina PPR Pastel";"Facultad > Organizador Escritorio, Oficina > Organizador de Escritorio, Oficina > Portataco y Artículos Escritorio, Mundo Pastel, Rosa";;;;;;;8,250.00;;0.20;3.00;15.00;15.00;5;102515;;SI;NO;;"escritorio, oficina, pastel, set";;;PPR;SI;;;;
set-washi-tapes-cinta-adhesiva-ppr-pastel;"Set Washi Tapes (Cinta Adhesiva) PPR Pastel";"Oficina > Cinta Adhesiva, Mundo Pastel, Rosa";;;;;;;2,900.00;;0.10;4.00;4.00;8.00;5;300142;;SI;NO;;"cinta adhesiva, pastel, whasi tape";;;PPR;SI;;;;
set-escritorio-ppr-pastel;"Set Escritorio PPR Pastel";"Facultad > Organizador Escritorio, Oficina > Organizador de Escritorio, Oficina > Portataco y Artículos Escritorio, Mundo Pastel, Rosa";;;;;;;9,490.00;;0.30;2.50;17.00;22.00;5;102512;;SI;NO;;"escritorio, pastel, set";;;PPR;SI;;;;
set-washi-tapes-cinta-adhesiva-ppr-river-plate;"Set Washi Tapes (Cinta Adhesiva) PPR River Plate";"Oficina > Cinta Adhesiva";;;;;;;5,290.00;;0.10;4.00;4.00;8.00;5;300139;;SI;NO;;"cinta adhesiva, river, river plate, whasi tape";;;PPR;SI;;;;
set-washi-tapes-cinta-adhesiva-ppr-boca-jrs;"Set Washi Tapes (Cinta Adhesiva) PPR Boca Jrs.";"Oficina > Cinta Adhesiva";;;;;;;5,290.00;;0.10;4.00;4.00;8.00;5;300140;;SI;NO;;"boca, boca Jrs., cinta adhesiva, whasi tape";;;PPR;SI;;;;
set-escritorio-ppr-river-plate;"Set Escritorio PPR River Plate";"Facultad > Organizador Escritorio, Oficina > Organizador de Escritorio, Oficina > Portataco y Artículos Escritorio";;;;;;;12,690.00;;0.30;2.50;17.00;22.00;5;102510;;SI;NO;;"escritorio, river, river plate, set";;;PPR;SI;;;;
set-escritorio-ppr-boca-jrs;"Set Escritorio PPR Boca Jrs.";"Facultad > Organizador Escritorio, Oficina > Organizador de Escritorio, Oficina > Portataco y Artículos Escritorio";;;;;;;12,690.00;;0.30;2.50;17.00;22.00;5;102511;;SI;NO;;"boca, boca Jrs., escritorio, set";;;PPR;SI;;;;
set-taco-adhesivo-ppr-boca-jrs;"Set Taco Adhesivo PPR Boca Jrs.";"Facultad > Notas y Notas Autoadhesivas, Oficina > Notas y Notas Autoadhesivas, Oficina > Portataco y Artículos Escritorio";;;;;;;4,100.00;;0.20;1.00;15.00;19.00;5;102517;;SI;NO;;"adhesivo, boca, boca Jrs., notas, taco";;;PPR;SI;;;;
